First Author,Year,Title,SMD,95% CI Lower,95% CI Upper,CG (N),IG (N)
Aguinaga,2018,Home-based physical activity program improves depression and anxiety in older adults,-1.10,-1.36,-0.83,123,124
Antunes,2005,"Depression, anxiety and quality of life scores in seniors after an endurance exercise program",-1.11,-1.73,-0.49,23,23
Cassilhas,2010,"Mood, anxiety, and serum IGF-1 in elderly men given 24 weeks of high resistance exercise",-0.68,-1.29,-0.06,23,20
Cunha,2022,Resistance training reduces depressive and anxiety symptoms in older women: a pilot study,-1.39,-2.09,-0.69,16,25
Evangelista de Lima,2021,"Effects of Xbox Kinect exercise training on sleep quality, anxiety and functional capacity in older adults",-0.54,-1.28,0.21,14,15
Ferreira,2018,The effect of resistance training on the anxiety symptoms and quality of life in elderly people with Parkinson's disease: a randomized controlled trial,-0.98,-1.68,-0.27,17,18
Mortazavi,2012,Mental disorder prevention and physical activity in Iranian elderly,-0.45,-0.65,-0.24,191,181
Ruiz-Comellas,2022,"Effects of physical activity interventions in the elderly with anxiety, depression, and low social support: a clinical multicentre randomised trial",-0.77,-1.26,-0.29,36,34
Seki,2003,Effects of phase III cardiac rehabilitation programs on health-related quality of life in elderly patients with coronary artery disease,-0.04,-0.68,0.60,18,20
Tse,2013,Motivational interviewing and exercise programme for community-dwelling older persons with chronic pain: a randomised controlled study,-0.11,-0.65,0.44,23,30
Tsutsumi,1998,Comparison of high and moderate intensity of strength training on mood and anxiety in older adults,-0.36,-1.06,0.34,10,24
Wikman,2017,"The effect of floorball training on health status, psychological health and social capital in older men",-0.57,-1.22,0.07,15,22
Zanuso,2012,"The effect of a strength training program on affect, mood, anxiety, and strength performance in older individuals",-0.30,-1.18,0.59,10,10
