Study name,Year,Std. Mean Difference,95% CI Lower,95% CI Upper
Kell 2009 (1),2009,-4.92,-6.96,-2.88
Harts 2008 (low),2008,0.17,-0.43,0.78
Harts 2008 (high),2008,-0.45,-1.05,0.15
Kell 2009 (2),2009,-5.20,-7.33,-3.07
Bruce-Low 2012 (2 x week),2012,-5.83,-7.14,-4.53
Bruce-Low 2012 (1 x week),2012,-6.88,-8.37,-5.40
Steele 2013,2013,-2.10,-3.19,-1.00
Cortell-Tormo 2018,2018,-0.95,-1.92,0.02
Borges 2023,2023,-0.99,-1.74,-0.24
Smith 2011,2011,0.02,-0.74,0.78
Calatayud 2020,2020,-0.60,-1.04,-0.17
Scott 2020,2020,-0.80,-1.45,-0.16
Santos 2021,2021,-3.92,-5.31,-2.53
