First Author,Year,Mean Difference (mmHg),95% CI Lower,95% CI Upper
Khajehdehi,2011,-6.26,-8.76,-3.76
Jiménez-Osorio,2016,5.90,-0.26,12.06
Funamoto,2019,-2.60,-7.72,2.52
Hodaei,2019,5.00,0.39,9.61
Srinivasan,2019,-1.15,-3.10,0.80
Shafabakhsh,2020,-1.40,-4.22,1.42
Cicero,2020,2.00,0.15,3.85
Ebrahimkhani,2020,-13.20,-31.16,4.76
Neta,2021,-2.70,-6.77,1.37
Darmian (A),2022,-3.78,-4.68,-2.88
Darmian (B),2022,-1.11,-2.57,0.35
Hosseini,2024,0.70,-1.97,3.37
Mansour,2025,0.83,-2.35,4.01
Lamichhane,2025,4.81,-0.37,9.99
Ghazaee,2025,-2.81,-5.88,0.26
El-Rakabawy,2025,-7.40,-9.84,-4.96
