First Author,Year,Mean Difference (mmHg),95% CI Lower,95% CI Upper,CG (N),Duration (weeks),IG (N),Mean Age CG,Mean Age IG
Khajehdehi,2011,3.74,-4.90,12.38,20,8,20,52.6,52.9
Jiménez-Osorio,2016,4.60,-2.87,12.07,23,8,28,56.2,55
Funamoto,2019,-0.50,-8.19,7.19,18,24,15,69,70
Hodaei,2019,0.00,-6.61,6.61,23,10,21,60,58
Srinivasan,2019,-2.73,-6.01,0.55,54,12,60,49.94,51.32
Shafabakhsh,2020,-3.60,-8.28,1.08,27,12,26,56.2,58.3
Cicero,2020,-3.00,-5.31,-0.69,40,8,40,53,54
Ebrahimkhani,2020,-14.40,-41.49,12.69,19,12,16,52.16,56.19
Neta,2021,1.60,-4.04,7.24,28,16,33,61.9,63.1
Darmian (A),2022,-4.71,-6.34,-3.08,10,8,11,44.22,44.33
Darmian (B),2022,-2.99,-4.73,-1.25,10,8,11,42.13,43.02
Hosseini,2024,-2.30,-6.01,1.41,32,12,33,56.17,55.25
Mansour,2025,-2.33,-5.50,0.84,45,16,41,62.67,62.32
Lamichhane,2025,1.53,-6.62,9.68,9,12,14,67,65.5
Ghazaee,2025,-0.91,-5.01,3.19,30,12,26,48.76,48.03
El-Rakabawy,2025,-6.70,-10.34,-3.06,36,14,36,60.9,59.8
