Study,Year,Mean Difference,95% CI Lower,95% CI Upper
Amanda V. Sardeli et al.,2022,0.30,-1.72,2.32
Eduardo Federighi Baisi Chagas et al.,2017,-0.60,-1.35,0.15
Masaki Takahashi et al.,2013,-0.10,-0.64,0.44
Natsuki Hasegawa et al.,2017,-0.40,-2.64,1.84
Nikolaos P.E. Kadoglou et al.,2007,-0.55,-2.19,1.09
Victor Manuel MendozaNunez et al.,2018,-0.60,-0.87,-0.33
Woo-Hyeon Son et al.,2023,-0.50,-1.77,0.77
Yanwei Cai et al.,2023,-1.61,-3.32,0.10
Akbar Azamian Jaz et al.,2022,0.86,-1.70,3.42
Marco Antonio R. Da Silva et al.,2020,-0.35,-3.15,2.45
Pia Christensen et al.,2013,0.60,-1.00,2.20
