Study,Year,Mean Difference,95% CI Lower,95% CI Upper
Amanda V. Sardeli et al.,2022,0.00,-0.04,0.04
Nikolaos P.E. Kadoglou et al.,2007,-0.18,-0.25,-0.11
Victor Manuel MendozaNunez et al.,2018,0.01,-0.01,0.03
Woo-Hyeon Son et al.,2023,-0.04,-0.10,0.02
Akbar Azamian Jaz et al.,2022,-0.05,-0.10,-0.00
Crisieli M. Tomeleri et al.,2016,-0.12,-0.21,-0.03
Crisieli M. TOMELERI et al.,2018,-1.80,-2.76,-0.84
Marco Antonio R. Da Silva et al.,2020,-0.09,-0.35,0.17
M Bouchonville et al.,2013,-0.15,-0.37,0.07
Pedro Gargallo et al.,2024,-1.23,-2.80,0.34
Pia Christensen et al.,2013,-0.13,-0.28,0.02
Yorgi Mavros et al.,2014,-0.06,-0.46,0.34
