Study,Year,Mean Difference,95% CI Lower,95% CI Upper
Amanda V. Sardeli et al.,2022,0.10,-0.09,0.29
Eduardo Federighi Baisi Chagas et al.,2017,-4.70,-5.57,-3.83
Masaki Takahashi et al.,2013,0.56,-0.03,1.15
Victor Manuel MendozaNunez et al.,2018,0.00,-0.06,0.06
Woo-Hyeon Son et al.,2023,-0.17,-0.34,0.00
Yanwei Cai et al.,2023,1.25,-13.06,15.56
Akbar Azamian Jaz et al.,2022,-1.07,-1.72,-0.42
Crisieli M. Tomeleri et al.,2016,-1.60,-2.83,-0.37
Crisieli M. TOMELERI et al.,2018,-1.20,-2.02,-0.38
Eliza G. Miller et al.,2017,0.13,-2.48,2.74
Nayoung Ahn et al.,2022,0.54,-0.62,1.70
