Study,Year,Location,Effect Size,95% CI Lower,95% CI Upper
Cao et al.,2021,Beijing,1.24,0.88,1.75
Cao et al.,2021,Guangdong,1.03,0.93,1.25
Cao et al.,2021,Hainan,1.30,0.75,2.27
Cao et al.,2021,Heilongjiang,1.18,1.01,1.39
Cao et al.,2021,Hubei,1.13,1.10,1.15
Hadei et al.,2021,Tehran,3.29,1.56,6.92
Hadei et al.,2021,Mashhad,1.13,0.72,1.73
Hadei et al.,2021,Tabriz,1.37,0.90,2.08
Lu et al.,2021,41 cities in China except for Wuhan,1.05,1.03,1.07
Ma et al.,2021,"Shanghai, China",1.08,0.98,1.22
Sahoo,2021,8 states in India,2.21,1.13,3.29
Singh,2021,"Delhi, India",1.46,0.22,2.70
Wang et al.,2020,63 cities in China,1.21,1.14,1.28
Zhang et al.,2021,235 cities in China,1.06,1.03,1.08
Zhou et al.,2021,120 cities in China,0.02,0.00,0.04
Zhu et al.,2020,120 cities in China,2.24,1.02,3.46
