Study,Year,dCBT-I N,dCBT-I Mean,dCBT-I SD,Control N,Control Mean,Control SD,Hedges g,95% CI Lower,95% CI Upper
Chan et al.,2021,167,27.62,10.53,153,35.36,7.62,-0.83,-1.06,-0.61
Cheng et al.,2020,358,6.70,4.70,300,9.20,3.70,-0.58,-0.74,-0.43
Christensen et al.,2016,574,2.80,4.80,575,4.60,4.80,-0.37,-0.49,-0.26
Glozier et al.,2019,45,18.50,12.00,42,20.90,11.80,-0.20,-0.62,0.22
Henry et al.,2020,1696,9.81,5.98,1656,13.16,6.18,-0.55,-0.62,-0.48
Horsch et al.,2017,74,11.00,5.60,77,15.50,9.50,-0.57,-0.90,-0.25
Lancee et al.,2012,214,10.67,7.08,200,11.81,7.08,-0.16,-0.35,0.03
Lorenz et al.,2019,25,5.48,5.56,27,8.00,6.00,-0.43,-0.97,0.11
Majd et al.,2020,156,3.81,0.89,156,5.98,3.13,-0.94,-1.17,-0.71
Rotger et al.,2024,40,14.64,8.30,48,20.61,6.96,-0.78,-1.21,-0.35
Schuffelen et al.,2024,70,11.22,5.75,70,14.87,5.15,-0.67,-1.00,-0.33
Specht et al.,2024,149,7.30,3.90,141,10.20,4.90,-0.66,-0.89,-0.42
Staiano et al.,2025,66,10.03,4.52,66,11.41,2.78,-0.37,-0.71,-0.02
Sweetman et al.,2024,31,5.26,1.51,31,8.62,1.44,-2.25,-2.88,-1.62
Tamm et al.,2025,100,7.90,4.95,104,12.35,5.54,-0.84,-1.13,-0.56
Zhang et al.,2023,38,5.90,3.80,39,7.90,4.80,-0.46,-0.90,-0.01
