Study,Year,dCBT-I N,dCBT-I Mean,dCBT-I SD,Control N,Control Mean,Control SD,Hedges g,95% CI Lower,95% CI Upper
Chan et al.,2021,167,12.25,4.50,153,16.99,4.89,-1.01,-1.24,-0.78
Cheng et al.,2020,358,7.90,5.70,300,13.30,4.60,-1.03,-1.19,-0.87
Christensen et al.,2016,574,7.30,7.20,575,13.20,7.20,-0.82,-0.94,-0.70
Glozier et al.,2019,45,10.20,5.50,42,12.30,5.10,-0.39,-0.81,0.03
Henry et al.,2020,1696,16.50,6.73,1656,11.50,6.10,0.78,0.71,0.85
Horsch et al.,2017,74,9.90,4.90,77,13.20,4.50,-0.70,-1.03,-0.37
Lancee et al.,2012,214,18.86,4.54,200,22.24,3.99,-0.79,-0.99,-0.59
Lorenz et al.,2019,25,7.80,4.94,27,12.04,3.86,-0.95,-1.51,-0.38
Majd et al.,2020,156,12.67,5.60,156,16.69,4.98,-0.76,-0.99,-0.53
Rotger et al.,2024,40,9.39,5.06,48,17.76,3.61,-1.92,-2.42,-1.41
Schuffelen et al.,2024,70,12.02,5.56,70,17.37,3.64,-1.13,-1.49,-0.78
Specht et al.,2024,149,12.10,5.50,141,16.00,5.40,-0.71,-0.95,-0.48
Staiano et al.,2025,66,11.95,3.93,66,14.88,4.60,-0.68,-1.03,-0.33
Sweetman et al.,2024,31,9.45,1.70,31,16.77,1.60,-4.38,-5.29,-3.46
Tamm et al.,2025,100,11.13,5.53,104,15.59,5.40,-0.81,-1.10,-0.53
Zhang et al.,2023,38,12.70,4.80,39,14.90,5.00,-0.44,-0.89,0.00
