Study,Geographical Setting,Relative Risk,95% CI Lower,95% CI Upper
Bernstein et al. (2022),US,1.13,0.97,1.31
Chan et al. (2018),Hong Kong,0.99,0.67,1.47
Cohen et al. (2024),"New York, US",1.49,1.27,1.75
da Silva et al. (2020),"Curitiba City, Brazil",1.14,1.05,1.23
da Silva et al. (2020),"Curitiba City, Brazil",1.20,1.12,1.29
He et al. (2025),"New South Wales, Australia",1.14,1.03,1.26
Komulainen et al. (2022),Finland,1.10,0.88,1.37
Niu et al. (2020),"Beijing, China",0.99,0.40,2.45
Niu et al. (2023),"New York City, US",1.28,1.13,1.45
Niu et al. (2023),"New York City, US",1.17,1.09,1.25
Ndovu et al. (2025),"California, US",1.01,1.00,1.03
Runkle et al. (2025),"North Carolina, US",1.17,1.02,1.35
Wang et al. (2018),"Hefei, China",1.03,0.98,1.09
Zhang et al. (2020),"Shenzhen, Zhaoqing and Huizhou, China",1.04,0.95,1.14
Zhong et al. (2025),"Anhui, China",1.16,1.02,1.31
Zhou et al. (2023),"Chongqing, China",0.96,0.89,1.04
Zhou et al. (2024),"Liuzhou, China",1.04,0.71,1.52
