Study,Geographical Setting,Relative Risk,95% CI Lower,95% CI Upper
Bernstein et al. (2022),US,1.13,0.97,1.31
Chan et al. (2018),Hong Kong,0.99,0.67,1.47
da Silva et al. (2020),"Curitiba City, Brazil",1.14,1.05,1.23
da Silva et al. (2020),"Curitiba City, Brazil",1.20,1.12,1.29
He et al. (2025),"New South Wales, Australia",1.14,1.03,1.26
Niu et al. (2020),"Beijing, China",0.99,0.40,2.45
Niu et al. (2023),"New York City, US",1.28,1.13,1.45
Niu et al. (2023),"New York City, US",1.17,1.09,1.25
Ndovu et al. (2025),"California, US",1.01,1.00,1.03
Zhong et al. (2025),"Anhui, China",1.16,1.02,1.31
