Study,Year,SMD,95% CI Lower,95% CI Upper
Doo-wang Kang,2020,0.46,-0.42,1.35
Su-Youn Cho,2019,0.24,-0.41,0.89
Catherine Duggan (a),2016,-0.03,-0.29,0.22
Catherine Duggan (b),2016,-0.03,-0.30,0.25
Catherine Duggan,2014,-0.02,-0.32,0.28
KB Cullberg,2014,-0.03,-0.65,0.59
Jesper Krogh,2014,0.00,-0.44,0.44
O K Glass,2014,-0.39,-0.99,0.21
Ermanno Eleuteri,2013,0.20,-0.66,1.06
Ephraim B Beck,2011,-0.10,-0.73,0.52
Sandra Erbs,2010,0.51,-0.14,1.17
Patrizio Sarto,2007,-0.70,-1.31,-0.09
Rachel E. WOOD,2006,-1.26,-2.47,-0.05
Dick H. J. Thijssen,2006,-1.24,-2.32,-0.15
