Study,Year,Experimental Mean,Experimental SD,Experimental Total,Control Mean,Control SD,Control Total,SMD,95% CI Lower,95% CI Upper,Sample Size
Benzo et al.,2022,-1.63,4.5,143,-0.32,5.24,142,-0.27,-0.50,-0.03,375
Chen et al.,2022,-9.38,4.38,1232,-3,4.23,1133,-1.48,-1.57,-1.39,2365
Dwinger et al.,2020,0.15,2.07,1243,0.07,1.86,848,0.04,-0.05,0.13,4283
Jolly et al.,2018,0.2,2.82,244,0.4,2.96,279,-0.07,-0.24,0.10,577
Kerr et al.,2018,0.4,3.7,109,0.6,4,105,-0.05,-0.32,0.22,307
Nguyen et al.,2019,-1,4.78,183,-0.5,6,164,-0.09,-0.30,0.12,1670
Park and Chang,2014,-3.4,5.13,22,-0.4,5.85,21,-0.54,-1.15,0.07,43
Park et al.,2017,-3.19,4.01,43,0.81,5.54,47,-0.81,-1.25,-0.38,90
Richard et al.,2019,-0.1,2.2,1198,-0.1,2.35,1233,0.00,-0.08,0.08,2724
Sakakibara et al.,2022,-0.5,8.8,57,0.28,8.42,54,-0.09,-0.46,0.28,126
Tiede et al.,2017,0.7,3.09,87,0.4,2.65,48,0.10,-0.25,0.45,184
Van den Helder et al.,2020,-0.1,3.08,56,0,2.74,81,-0.03,-0.38,0.31,224
van der Wulp et al.,2012,-0.5,8.23,59,0.74,8.34,60,-0.15,-0.51,0.21,119
