Study,Year,Experimental Mean,Experimental SD,Experimental Total,Control Mean,Control SD,Control Total,SMD,95% CI Lower,95% CI Upper
Bailey et al.,2024,6.5,13.1,23,6,8.2,26,0.05,-0.52,0.61
Hardcastle et al.,2024,0.59,16.93,32,2.98,16.89,41,-0.14,-0.60,0.32
Hawkes et al.,2014,5.4,12.89,205,3.6,12.89,205,0.14,-0.05,0.33
Ihl et al.,2022,-0.04,0.24,747,-0.05,0.24,731,0.04,-0.06,0.14
Jolly et al.,2018,-0.02,0.15,244,-0.02,0.14,272,0.00,-0.17,0.17
Kelly et al.,2020,0.07,0.2,37,0.05,0.2,36,0.10,-0.36,0.56
Kerr et al.,2018,0,0.5,113,-0.1,0.6,107,0.18,-0.08,0.45
Larsen et al.,2021,1.6,13.62,32,-0.85,14.89,38,0.17,-0.30,0.64
Lin et al.,2021,5.96,7.73,54,0.27,9.79,54,0.64,0.25,1.03
Oliveira et al.,2019,0.8,0.1,54,0.8,0.1,55,0.00,-0.38,0.38
Park et al.,2017,0.62,2.35,43,-0.25,2.46,47,0.36,-0.06,0.78
Zhou et al.,2024,13.74,3.7,60,9.29,3.29,60,1.26,0.87,1.66
