Study,Year,Experimental Mean,Experimental SD,Experimental Total,Control Mean,Control SD,Control Total,SMD,95% CI Lower,95% CI Upper
Benzo et al.,2021,0.5,1.1,56,-1.4,7.9,63,0.33,-0.04,0.69
Browning et al.,2016,3.34,13.48,59,2.64,15.1,60,0.05,-0.31,0.41
Jolly et al.,2018,-0.2,1.65,247,-0.2,1.75,275,0.00,-0.17,0.17
Larsen et al.,2021,-6.5,17.67,32,-6.9,20.46,38,0.02,-0.45,0.49
Lin et al.,2021,36.82,48.18,54,0.8,55.68,54,0.69,0.30,1.08
Park and Chang,2014,3.1,10.87,22,0.3,12.82,21,0.23,-0.37,0.83
Park et al.,2017,7.75,14.57,43,-3.73,15.64,47,0.75,0.32,1.18
Richard et al.,2019,0.4,10.18,1198,0.9,9.7,1233,-0.05,-0.13,0.03
van der Wulp et al.,2012,3.34,13.48,59,2.64,15.1,60,0.05,-0.31,0.41
Woodard et al.,2022,1,2.27,125,0.71,2.28,129,0.13,-0.12,0.37
