Study,Year,Aquatic Mean,Aquatic SD,Aquatic Total,Control Mean,Control SD,Control Total,Mean Difference,95% CI Lower,95% CI Upper
Alejandro,2021,0,14.2,17,0.5,11.2,17,-0.50,-9.10,8.10
Carlos,2021,0.7,12.8,82,-0.3,14.7,20,1.00,-6.01,8.01
Danilo S,2008,-4,8.3,27,0.7,6.1,45,-4.70,-8.30,-1.10
Du-Wang Kang,2024,-0.25,5.4,10,0,5.9,20,-0.25,-4.48,3.98
Kay L,2010,-0.6,9.2,44,0.4,11.9,42,-1.00,-5.51,3.51
Louise H,2019,-3.5,22,20,-0.5,13.6,40,-3.00,-13.52,7.52
Marco Bergamin,2013,-0.9,14.8,17,-0.2,13.1,36,-0.70,-8.93,7.53
Mary E,2013,-0.5,15.4,43,-0.4,11.5,17,-0.10,-7.25,7.05
NOBUO,2002,-3.3,9.4,15,-0.2,7,15,-3.10,-9.03,2.83
Paulina Yesica,2019,-0.82,11.8,16,0.03,16.91,10,-0.85,-12.82,11.12
SHIVA,2023,-0.28,11.29,19,0.91,13.56,13,-1.19,-10.14,7.76
THOMAI,2006,0.4,2.14,12,-0.2,2.58,10,0.60,-1.41,2.61
