Study,Year,WMD,95% CI Lower,95% CI Upper,CG Mean Age,CG Sample Size,Dose (mg/day),IG Sample Size,Trial Duration (weeks)
Khajehdehi et al.,2011,0.00,-0.19,0.19,52.6,20,1500,20,8
Chuengsamarn et al.,2014,-0.96,-2.95,1.03,59.5,106,1500,107,24
Maithili Karpaga et al.,2015,0.00,-0.03,0.03,46.8,30,2000,30,4
Jimenez-osorio et al.,2016,-0.20,-0.92,0.52,56.2,23,320,28,8
Panahi et al.,2018,0.00,-0.07,0.07,41,50,500,50,12
Funamoto et al.,2019,0.03,-0.01,0.06,69,18,180,15,24
Vanaie et al.,2019,-0.19,-0.36,-0.02,61,19,1500,27,16
Shafabakhsh et al.,2020,-0.50,-1.22,0.22,56.2,27,80,26,12
Yaikwawong et al.,2024,-0.01,-0.04,0.02,62.2,114,1500,113,48
Amini et al.,2024,-0.07,-0.13,-0.01,55.8,29,1000,27,12
Yaikwawong et al.,2025,0.00,-0.05,0.05,60.2,39,1500,39,48
Mansour et al.,2025,0.00,-0.07,0.07,62.6,45,80,41,16
