Study,Year,N Treat,N Control,RR,95% CI Lower,95% CI Upper
Lonn et al.,2006,2758,2764,0.99,0.88,1.11
Hankey et al.,2010,4089,4075,0.97,0.87,1.07
Huo et al.,2017,10348,10354,0.94,0.81,1.10
Boston et al.,2011,2056,2054,1.04,0.88,1.22
House et al.,2010,119,119,1.17,0.40,3.37
Heinz et al.,2010,327,323,1.10,0.86,1.39
Albert et al.,2008,2721,2721,0.98,0.83,1.15
Jamison et al.,2007,1032,1024,1.02,0.92,1.13
Toole et al.,2004,1827,1853,0.86,0.66,1.11
Galan et al.,2010,1242,1259,1.62,1.13,2.33
Armitage et al.,2010,6033,6031,1.03,0.95,1.12
