Study,Year,N Treat,N Control,RR,95% CI Lower,95% CI Upper
Lonn et al.,2006,2758,2764,0.76,0.59,0.96
Hankey et al.,2010,4089,4075,0.92,0.81,1.06
Huo et al.,2017,10348,10354,0.79,0.68,0.93
Boston et al.,2011,2056,2054,1.08,0.69,1.71
House et al.,2010,119,119,6.00,0.73,49.08
Heinz et al.,2010,327,323,0.72,0.34,1.55
Albert et al.,2008,2721,2721,1.14,0.83,1.57
Jamison et al.,2007,1032,1024,0.90,0.58,1.38
Toole et al.,2004,1827,1853,1.04,0.84,1.29
Galan et al.,2010,1242,1259,0.59,0.35,1.01
Armitage et al.,2010,6033,6031,1.01,0.86,1.20
