Study,Year,Prevalence Measure,Events,Total,Proportion,95% CI Lower,95% CI Upper,Sample Size
Petropoulos et al.,2023,Body temp,438,569,0.77,0.73,0.80,165
Dutta et al.,2015,General HRI symptoms,129,219,0.59,0.52,0.65,219
Inaba et al.,2007,General HRI symptoms,41,319,0.13,0.09,0.17,319
Fang et al.,2021,Heat Exposure Concerns,425,1063,0.40,0.37,0.43,1063
Han et al.,2021,Heat Exposure Concerns,108,326,0.33,0.28,0.39,326
Kim et al.,2020,Heat Exposure Concerns,98,228,0.43,0.36,0.50,228
Al-Bouwarthan et al.,2020,Heat Stress,18,23,0.78,0.56,0.93,23
Jia et al.,2016,Heat Stress,38,216,0.18,0.13,0.23,216
Oksa et al.,2014,Heat Stress,6,14,0.43,0.18,0.71,14
Phanprasit et al.,2021,Heat Stress,50,168,0.30,0.23,0.37,90
Sett et al.,2014,Heat Stress,86,120,0.72,0.63,0.80,120
Kakamu et al.,2021,High Heart Rate,101,1165,0.09,0.07,0.10,61
