Study,Year,NMN Total,NMN Mean,NMN SD,Placebo Total,Placebo Mean,Placebo SD,MD,95% CI Lower,95% CI Upper
Huang,2022,31,-1.84,8.5100,31,-1.23,9.9000,-0.61,-5.21,3.99
Morifuji,2024,30,-1.00,10.5400,29,0.00,13.0000,-1.00,-7.05,5.05
Okabe,2022,15,-6.68,8.8500,14,-4.14,9.0400,-2.54,-9.06,3.98
Katayoshi,2023,17,1.00,15.2600,17,3.40,11.4900,-2.40,-11.48,6.68
Yoshino,2021,13,2.00,3.0000,12,4.00,3.0000,-2.00,-4.35,0.35
Pencina,2023,21,-1.63,18.3800,9,2.11,2.8800,-3.74,-11.82,4.34
Igarashi,2022,10,-3.50,8.1000,10,0.00,6.6000,-3.50,-9.98,2.98
Fukamizu,2022,16,-2.60,12.0000,15,-4.10,11.1500,1.50,-6.65,9.65
Nakajima 2025a,2025,10,-3.40,6.7500,10,2.50,6.6800,-5.90,-11.79,-0.01
Nakajima 2025b,2025,10,1.00,11.9000,10,2.50,6.6800,-1.50,-9.96,6.96
Qiu,2023,9,-3.56,5.8700,10,-0.99,5.3200,-2.57,-7.63,2.49
