Study,Year,NMN Total,NMN Mean,NMN SD,Placebo Total,Placebo Mean,Placebo SD,MD,95% CI Lower,95% CI Upper
Huang,2022,31,-0.06,10.3100,31,-2.65,14.7200,2.59,-3.74,8.92
Morifuji,2024,30,-2.00,13.7500,29,0.00,19.0000,-2.00,-10.49,6.49
Okabe,2022,15,-3.99,7.9100,14,-6.55,9.8000,2.56,-3.95,9.07
Katayoshi,2023,17,1.20,17.2900,17,2.80,14.1100,-1.60,-12.21,9.01
Yoshino,2021,13,-1.00,5.0000,12,3.00,4.0000,-4.00,-7.54,-0.46
Pencina,2023,21,-0.31,63.8300,9,8.92,18.6400,-9.23,-39.12,20.66
Igarashi,2022,10,-4.20,13.0000,10,1.80,13.0000,-6.00,-17.39,5.39
Fukamizu,2022,16,-1.60,14.8500,15,-11.70,14.4300,10.10,-0.21,20.41
Nakajima 2025a,2025,10,-0.70,8.6200,10,0.90,9.1800,-1.60,-9.40,6.20
Nakajima 2025b,2025,10,1.20,15.1500,10,0.90,9.1800,0.30,-10.68,11.28
Qiu,2023,9,-6.89,6.8000,10,-2.50,5.8400,-4.39,-10.12,1.34
