Study,Year,Experimental Mean,Experimental SD,Experimental Total,Control Mean,Control SD,Control Total,Effect Type,Effect,95% CI Lower,95% CI Upper
Zhao et al.,2020,6,4.6,29,10.7,4.9,29,MD,-4.70,-7.15,-2.25
Lee et al.,2020,9.26,7.2,30,17,9.58,30,MD,-7.74,-12.03,-3.45
Yang et al.,2022,32,34.35,124,48.43,59.53,116,MD,-16.43,-28.84,-4.02
Park et al.,2020,13.1,2,22,27.2,4.4,22,MD,-14.10,-16.12,-12.08
Liu et al.,2020,7.5,11.6,56,29.5,15.3,56,MD,-22.00,-27.03,-16.97
Wang et al.,2021,10.4,4.62,54,33.59,19.82,54,MD,-23.19,-28.62,-17.76
Shao et al.,2017,24,15,35,60,45,35,MD,-36.00,-51.71,-20.29
Dong et al.,2019,40.8,13.3,40,72.5,30.3,40,MD,-31.70,-41.95,-21.45
Guo et al.,2021,12.7,5.5,24,45.6,7.8,24,MD,-32.90,-36.72,-29.08
Zhou et al.,2023,12.7,5.5,24,45.6,7.8,24,MD,-32.90,-36.72,-29.08
Chen et al.,2015,41.3,17.6,35,96.2,25.8,35,MD,-54.90,-65.25,-44.55
