Study,Year,WMD,95% CI Lower,95% CI Upper,Baseline BMI (kg/m2),Duration (week),Sample Size
Valentova,2007,-4.62,-9.40,0.17,21,8,65
Lee,2008,0.00,-9.69,9.69,26,12,30
Basu,2011,-3.80,-8.49,0.89,40,8,31
Dohadwala,2011,0.00,-6.51,6.51,29.5,4,44
Flammer,2012,3.80,-1.48,9.08,27.4,16,69
Ruel,2013,1.00,-2.70,4.70,28.3,4,35
Novotny,2015,-11.30,-17.04,-5.56,28,8,56
Eftekhari,2016,-2.99,-7.43,1.45,29.3,8,48
Hsia,2020,0.47,-4.74,5.68,36.9,8,35
Masnadi Shirazi,2021,-0.48,-6.70,5.74,28.4,24,94
Richter,2021,-1.00,-2.75,0.75,28.7,8,40
Flanagan,2022,3.60,-2.08,9.28,25,12,60
