unit_id,review_pmid,outcome,analysis_type,effect_measure,model,pooled_effect,ci_lower,ci_upper,direction,p_value,i2,tau2
MA-001,41507873,Alzheimer,dichotomous,RR,random_effects,1.3499,1.1163,1.6323,positive,0.024,37.0,0.057
MA-002,41507873,Depression,continuous,SMD,random_effects,0.73,0.51,0.95,positive,0.006,43.0,0.057
MA-003,41617837,Anxiety,continuous,SMD,random_effects,-0.76,-0.96,-0.56,negative,0.006,74.0,0.006
MA-004,41617837,CompositeMentalIllnesses,dichotomous,OR,random_effects,0.5886,0.3946,0.8781,negative,0.006,76.0,0.051
MA-005,41617837,Depression,continuous,SMD,random_effects,0.63,0.29,0.97,positive,0.006,58.0,0.029
MA-006,41617837,MentalHealthDisorders,dichotomous,OR,random_effects,1.6653,1.1972,2.3164,positive,0.006,71.0,0.059
MA-007,41617837,SchizophreniaPsychoticDisorders,dichotomous,OR,random_effects,0.8353,0.6637,1.0513,negative,0.084,65.0,0.064
MA-008,41617837,Suicide,dichotomous,OR,random_effects,0.5945,0.4868,0.7261,negative,0.006,81.0,0.002
MA-009,41639651,DBP,continuous,MD,random_effects,-4.2,-4.79,-3.61,negative,<0.001,40.0,0.023
MA-010,41639651,SBP,continuous,MD,random_effects,-2.8,-4.47,-1.13,negative,<0.001,61.0,0.020
MA-011,41566983,InfectionLongTerm,dichotomous,RR,random_effects,0.644,0.4771,0.8694,negative,0.024,60.0,0.005
MA-012,41566983,InfectionShortTerm,dichotomous,RR,random_effects,1.2214,1.0202,1.4623,positive,0.024,18.0,0.001
MA-013,41566983,MortalityShortTerm,dichotomous,RR,random_effects,0.5945,0.4724,0.7483,negative,0.006,18.0,0.006
MA-014,41835126,HRISymptoms,dichotomous,OR,random_effects,1.5527,1.1275,2.1383,positive,0.006,29.0,0.061
MA-015,41970007,DBP,continuous,MD,random_effects,1.45,-1.5,4.4,positive,0.084,50.0,0.041
MA-016,41970007,Ozone,continuous,SMD,fixed_effects,-0.64,-0.91,-0.37,negative,0.006,71.0,0.011
